"","LatitudeMeasure","LongitudeMeasure","conc"
"2424",40.734778634,-112.170056864,3.53553390593
"2427",40.734778634,-112.170056864,7.07106781187
"2429",40.734778634,-112.170056864,1.41421356237
"2430",36.9319444,-120.80102778,3.53553390593
"2447",36.9319444,-120.80102778,7.07106781187
"2449",38.2616929,-120.93787468,0.707106781187
"2450",37.6547,-121.7419,0.707106781187
"2451",47.474488,-115.870024,0.14
"2452",47.474488,-115.870024,0.21
"2453",47.474488,-115.870024,0.093
"2454",47.474488,-115.870024,0.1
"2455",47.474488,-115.870024,0.02
"2458",30.67,-90.21,0.353553390593
"2459",30.67,-90.21,2.12132034356
